,DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME,NUMBER OF TRADES,WEIGHTED AV. PRICE,DATE,TIME,YEAR,MONTH,DAY,HOUR,MINUTES,SECONDS
0,2004.01.23 09:30:00,28.27,28.62,28.53,28.22,255885,21336,28.438000000000002,2004-01-23,09:30:00,2004,01,23,09,30,00
1,2004.01.23 10:00:00,28.54,28.76,28.66,28.52,229302,24071,28.651,2004-01-23,10:00:00,2004,01,23,10,00,00
2,2004.01.23 11:00:00,28.66,28.7,28.55,28.52,156298,17527,28.613000000000003,2004-01-23,11:00:00,2004,01,23,11,00,00
3,2004.01.23 12:00:00,28.55,28.59,28.41,28.4,125556,14631,28.497,2004-01-23,12:00:00,2004,01,23,12,00,00
4,2004.01.23 13:00:00,28.41,28.61,28.48,28.37,137064,14527,28.485,2004-01-23,13:00:00,2004,01,23,13,00,00
5,2004.01.23 14:00:00,28.48,28.56,28.48,28.39,103331,13055,28.488000000000003,2004-01-23,14:00:00,2004,01,23,14,00,00
6,2004.01.23 15:00:00,28.47,28.51,28.49,28.28,156191,18716,28.41,2004-01-23,15:00:00,2004,01,23,15,00,00
7,2004.01.26 09:30:00,28.49,28.73,28.65,28.48,67177,8311,28.629,2004-01-26,09:30:00,2004,01,26,09,30,00
8,2004.01.26 10:00:00,28.69,28.69,28.43,28.34,98973,13669,28.476,2004-01-26,10:00:00,2004,01,26,10,00,00
9,2004.01.26 11:00:00,28.42,28.47,28.38,28.32,60805,7886,28.391,2004-01-26,11:00:00,2004,01,26,11,00,00
10,2004.01.26 12:00:00,28.38,28.46,28.36,28.36,47835,5925,28.409000000000002,2004-01-26,12:00:00,2004,01,26,12,00,00
11,2004.01.26 13:00:00,28.36,28.49,28.48,28.35,42845,5816,28.43,2004-01-26,13:00:00,2004,01,26,13,00,00
12,2004.01.26 14:00:00,28.48,28.68,28.67,28.48,84665,10736,28.584,2004-01-26,14:00:00,2004,01,26,14,00,00
13,2004.01.26 15:00:00,28.67,28.8,28.76,28.65,133408,17313,28.733,2004-01-26,15:00:00,2004,01,26,15,00,00
14,2004.01.27 09:30:00,28.6,28.7,28.65,28.5,62980,7732,28.63,2004-01-27,09:30:00,2004,01,27,09,30,00
15,2004.01.27 10:00:00,28.65,28.72,28.61,28.58,69257,9179,28.643,2004-01-27,10:00:00,2004,01,27,10,00,00
16,2004.01.27 11:00:00,28.61,28.63,28.4,28.37,84556,11694,28.529,2004-01-27,11:00:00,2004,01,27,11,00,00
17,2004.01.27 12:00:00,28.41,28.44,28.43,28.29,90131,12511,28.364,2004-01-27,12:00:00,2004,01,27,12,00,00
18,2004.01.27 13:00:00,28.43,28.5,28.48,28.32,62239,8339,28.398000000000003,2004-01-27,13:00:00,2004,01,27,13,00,00
19,2004.01.27 14:00:00,28.48,28.53,28.42,28.33,79738,10181,28.445,2004-01-27,14:00:00,2004,01,27,14,00,00
20,2004.01.27 15:00:00,28.42,28.46,28.25,28.25,102612,11992,28.344,2004-01-27,15:00:00,2004,01,27,15,00,00
21,2004.01.28 09:30:00,28.28,28.44,28.39,27.1,53530,5823,28.354,2004-01-28,09:30:00,2004,01,28,09,30,00
22,2004.01.28 10:00:00,28.38,28.4,28.26,28.24,80422,9329,28.305,2004-01-28,10:00:00,2004,01,28,10,00,00
23,2004.01.28 11:00:00,28.26,28.79,28.09,28.0,92737,9216,28.184,2004-01-28,11:00:00,2004,01,28,11,00,00
24,2004.01.28 12:00:00,28.09,28.11,28.07,28.02,62121,7326,28.061999999999998,2004-01-28,12:00:00,2004,01,28,12,00,00
25,2004.01.28 13:00:00,28.05,28.13,28.0,28.0,53578,6851,28.06,2004-01-28,13:00:00,2004,01,28,13,00,00
26,2004.01.28 14:00:00,28.0,28.15,27.9,27.81,176160,23809,27.958000000000002,2004-01-28,14:00:00,2004,01,28,14,00,00
27,2004.01.28 15:00:00,27.9,27.96,27.7,27.47,167492,23854,27.686999999999998,2004-01-28,15:00:00,2004,01,28,15,00,00
28,2004.02.02 09:30:00,27.62,27.78,27.66,27.59,35852,5480,27.675,2004-02-02,09:30:00,2004,02,02,09,30,00
29,2004.02.02 10:00:00,27.66,27.71,27.46,27.43,100048,16172,27.539,2004-02-02,10:00:00,2004,02,02,10,00,00
30,2004.02.02 11:00:00,27.46,27.8,27.68,27.42,78187,11773,27.563000000000002,2004-02-02,11:00:00,2004,02,02,11,00,00
31,2004.02.02 12:00:00,27.68,27.72,27.63,27.53,84187,13807,27.634,2004-02-02,12:00:00,2004,02,02,12,00,00
32,2004.02.02 13:00:00,27.63,27.64,27.57,27.52,39647,7760,27.574,2004-02-02,13:00:00,2004,02,02,13,00,00
