,DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME,NUMBER OF TRADES,WEIGHTED AV. PRICE,DATE,TIME,YEAR,MONTH,DAY,HOUR,MINUTES,SECONDS
0,2004.01.23 09:30:00,57.1,57.1,56.8,56.62,6487,2270,56.855,2004-01-23,09:30:00,2004,01,23,09,30,00
1,2004.01.23 10:00:00,56.82,57.4,57.34,56.76,11549,3987,57.15,2004-01-23,10:00:00,2004,01,23,10,00,00
2,2004.01.23 11:00:00,57.31,57.34,57.26,56.91,8572,2643,57.136,2004-01-23,11:00:00,2004,01,23,11,00,00
3,2004.01.23 12:00:00,57.26,57.61,57.34,57.22,7622,2629,57.393,2004-01-23,12:00:00,2004,01,23,12,00,00
4,2004.01.23 13:00:00,57.35,57.6,57.12,57.11,4841,1450,57.29600000000001,2004-01-23,13:00:00,2004,01,23,13,00,00
5,2004.01.23 14:00:00,57.1,57.3,57.25,57.0,6581,1865,57.165,2004-01-23,14:00:00,2004,01,23,14,00,00
6,2004.01.23 15:00:00,57.24,57.3,57.14,56.89,11850,4139,57.108000000000004,2004-01-23,15:00:00,2004,01,23,15,00,00
7,2004.01.26 09:30:00,56.81,56.82,56.62,56.34,9126,2429,56.611000000000004,2004-01-26,09:30:00,2004,01,26,09,30,00
8,2004.01.26 10:00:00,56.62,56.69,56.5,56.31,9897,3107,56.516999999999996,2004-01-26,10:00:00,2004,01,26,10,00,00
9,2004.01.26 11:00:00,56.51,56.6,56.58,56.3,5756,1853,56.428000000000004,2004-01-26,11:00:00,2004,01,26,11,00,00
10,2004.01.26 12:00:00,56.59,56.8,56.69,56.5,3449,1136,56.593999999999994,2004-01-26,12:00:00,2004,01,26,12,00,00
11,2004.01.26 13:00:00,56.68,56.93,56.75,56.48,6885,1946,56.661,2004-01-26,13:00:00,2004,01,26,13,00,00
12,2004.01.26 14:00:00,56.76,57.08,56.94,56.38,5507,2001,56.875,2004-01-26,14:00:00,2004,01,26,14,00,00
13,2004.01.26 15:00:00,56.94,57.15,57.08,56.8,11775,3447,56.961000000000006,2004-01-26,15:00:00,2004,01,26,15,00,00
14,2004.01.27 09:30:00,56.75,57.74,57.35,56.71,13265,3088,57.3,2004-01-27,09:30:00,2004,01,27,09,30,00
15,2004.01.27 10:00:00,57.35,57.4,57.02,56.87,11585,3434,57.165,2004-01-27,10:00:00,2004,01,27,10,00,00
