,DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME,NUMBER OF TRADES,WEIGHTED AV. PRICE,DATE,TIME,YEAR,MONTH,DAY,HOUR,MINUTES,SECONDS
0,2012.05.18 11:00:00,42.05,45.0,38.86,38.0,2119935,422063,40.464,2012-05-18,11:00:00,2012,05,18,11,00,00
1,2012.05.18 12:00:00,38.85,42.0,41.01,38.01,918855,398534,40.442,2012-05-18,12:00:00,2012,05,18,12,00,00
2,2012.05.18 13:00:00,41.0,42.0,40.17,40.13,555244,212849,41.093999999999994,2012-05-18,13:00:00,2012,05,18,13,00,00
3,2012.05.18 14:00:00,40.15,42.0,39.13,38.0,696831,206701,40.131,2012-05-18,14:00:00,2012,05,18,14,00,00
4,2012.05.18 15:00:00,39.13,40.25,38.18,38.0,1078805,226303,38.196999999999996,2012-05-18,15:00:00,2012,05,18,15,00,00
5,2012.05.21 09:30:00,36.53,36.66,33.76,33.0,602624,193146,34.668,2012-05-21,09:30:00,2012,05,21,09,30,00
6,2012.05.21 10:00:00,33.76,34.24,33.73,33.19,242530,97917,33.842,2012-05-21,10:00:00,2012,05,21,10,00,00
7,2012.05.21 11:00:00,33.73,34.4,33.74,33.53,111414,45700,33.83,2012-05-21,11:00:00,2012,05,21,11,00,00
8,2012.05.21 12:00:00,33.74,34.25,34.16,33.5,94826,41446,33.903,2012-05-21,12:00:00,2012,05,21,12,00,00
9,2012.05.21 13:00:00,34.15,35.05,34.74,34.1,134905,53327,34.678000000000004,2012-05-21,13:00:00,2012,05,21,13,00,00
10,2012.05.21 14:00:00,34.75,34.8,34.55,34.12,83954,38838,34.493,2012-05-21,14:00:00,2012,05,21,14,00,00
11,2012.05.21 15:00:00,34.55,34.58,34.03,33.9,260600,69352,34.119,2012-05-21,15:00:00,2012,05,21,15,00,00
12,2012.05.22 09:30:00,32.66,32.96,31.87,30.98,270311,92001,31.747,2012-05-22,09:30:00,2012,05,22,09,30,00
13,2012.05.22 10:00:00,31.87,32.97,32.88,31.41,174485,68290,32.266,2012-05-22,10:00:00,2012,05,22,10,00,00
14,2012.05.22 11:00:00,32.87,33.59,32.94,32.75,119061,49110,33.152,2012-05-22,11:00:00,2012,05,22,11,00,00
15,2012.05.22 12:00:00,32.94,33.15,32.51,32.12,74032,29575,32.598,2012-05-22,12:00:00,2012,05,22,12,00,00
16,2012.05.22 13:00:00,32.51,32.56,32.01,32.0,59377,24223,32.243,2012-05-22,13:00:00,2012,05,22,13,00,00
17,2012.05.22 14:00:00,32.0,32.15,31.68,31.3,82207,34860,31.712,2012-05-22,14:00:00,2012,05,22,14,00,00
18,2012.05.22 15:00:00,31.67,31.87,31.11,30.94,168625,62715,31.156,2012-05-22,15:00:00,2012,05,22,15,00,00
19,2012.05.23 09:30:00,31.37,32.36,32.01,31.36,160542,61200,31.849,2012-05-23,09:30:00,2012,05,23,09,30,00
20,2012.05.23 10:00:00,32.0,32.5,32.11,31.71,131607,55425,32.171,2012-05-23,10:00:00,2012,05,23,10,00,00
